Frame,Tempo_Inferenza_ms
1,3880.35
2,1804.95
3,1798.91
4,1825.47
5,1751.21
6,1649.11
7,1517.63
8,1578.25
9,1554.53
10,1543.73
11,1580.35
12,1476.96
13,1603.11
14,1745.55
15,1916.91
16,1930.00
17,1952.85
18,1897.67
19,1872.73
20,1802.99
21,1708.19
22,1617.68
23,1675.04
24,1622.22
25,1607.93
26,1647.85
27,1614.24
28,1775.39
29,1930.08
30,1881.98
31,1944.48
32,1969.74
33,1972.39
34,1905.08
35,1781.98
36,1604.58
37,1782.22
38,1613.62
39,1489.48
40,1576.36
41,1593.68
42,1557.88
43,1918.13
44,1838.06
45,1781.01
46,1831.96
47,1857.20
48,1865.77
49,1728.22
50,1538.90
51,1576.17
52,1614.35
53,1612.45
54,1641.73
55,1719.18
56,1680.62
57,1647.48
58,1813.44
59,1777.72
60,1769.23
61,1710.93
62,1769.92
63,1097.25
64,714.56
65,716.24
66,775.91
67,751.25
68,710.09
69,723.82
70,748.11
71,812.26
72,703.47
73,759.80
74,812.07
75,760.91
76,728.04
77,850.76
78,811.64
79,811.53
80,917.85
81,857.33
82,763.17
83,717.71
84,720.01
85,722.59
86,735.73
87,725.48
88,731.97
89,730.99
90,725.04
91,721.02
92,727.06
93,724.38
94,725.92
95,723.69
96,717.74
97,800.25
98,730.64
99,725.62
100,765.54
101,729.35
102,750.92
103,734.73
104,760.76
105,809.81
106,775.78
107,817.70
108,721.00
109,843.61
110,766.05
111,761.64
112,834.55
113,852.52
114,833.50
115,792.72
116,836.41
117,802.52
118,719.78
119,718.36
120,717.95
121,718.98
122,715.16
123,721.61
124,728.04
125,723.28
126,720.82
127,719.46
128,716.68
129,729.30
130,720.05
131,713.05
132,720.02
133,720.45
134,708.34
135,760.67
136,905.99
137,845.67
138,888.74
139,902.46
140,839.36
141,909.97
142,890.91
143,855.75
144,800.47
145,817.97
146,826.56
147,812.50
148,875.42
149,836.92
150,881.93
151,712.59
152,723.69
153,720.43
154,718.94
155,717.34
156,712.31
157,725.10
158,720.85
159,722.97
160,721.43
161,723.38
162,729.30
163,725.94
164,731.40
165,704.82
166,705.07
167,714.89
168,829.68
169,917.24
170,860.52
171,803.23
172,769.81
173,769.08
174,821.24
175,802.07
176,787.02
177,823.76
178,798.72
179,871.43
180,830.86
181,826.82
182,858.43
183,883.86
184,872.37
185,818.61
186,799.37
187,797.22
188,765.96
189,769.78
190,798.93
191,777.25
192,802.04
193,817.25
194,802.02
195,874.70
196,790.83
197,816.08
198,788.07
199,786.67
200,796.88
201,802.64
202,842.29
203,798.15
204,811.47
205,821.50
206,781.93
207,896.95
208,860.07
209,868.57
210,871.43
211,875.49
212,853.32
213,860.66
214,777.20
215,786.57
216,784.85
217,740.94
218,753.08
219,746.55
220,774.12
221,800.87
222,833.07
223,728.45
224,805.35
225,789.07
226,811.03
227,817.09
228,757.36
229,753.75
230,791.32
231,748.79
232,777.89
233,811.82
234,828.21
235,872.68
236,905.07
237,849.88
238,902.22
239,854.97
240,854.94
241,871.51
242,801.20
243,828.87
244,816.95
