Frame,Tempo_Inferenza_ms,Confidenza_Media
1,175.73,0.5960
2,40.08,0.5865
3,45.40,0.5797
4,41.94,0.3965
5,41.44,0.3831
6,43.72,0.4120
7,40.22,0.3773
8,47.95,0.3526
9,42.35,0.3302
10,45.59,0.3411
11,41.30,0.3680
12,41.49,0.3668
13,40.97,0.3931
14,39.69,0.3517
15,40.48,0.3954
16,42.67,0.3509
17,40.69,0.3611
18,44.70,0.3636
19,47.21,0.3675
20,48.00,0.3502
21,38.60,0.3390
22,38.75,0.3616
23,37.41,0.4226
24,40.77,0.3751
25,40.72,0.2794
26,38.01,0.3703
27,38.24,0.2324
28,38.85,0.2249
29,43.18,0.3721
30,38.57,0.0000
31,40.55,0.0000
32,38.69,0.0000
33,40.57,0.2002
34,37.60,0.1849
35,49.45,0.0000
36,38.56,0.0000
37,36.54,0.1553
38,36.12,0.1711
39,41.31,0.0000
40,35.58,0.1606
41,70.89,0.1890
42,41.43,0.1790
43,40.76,0.1793
44,38.25,0.1946
45,47.90,0.2636
46,37.86,0.3772
47,42.81,0.0000
48,37.92,0.0000
49,39.05,0.1576
50,43.15,0.1752
51,45.08,0.1933
52,34.56,0.1887
53,38.84,0.2216
54,43.95,0.1775
55,35.28,0.1710
56,39.27,0.1941
57,37.07,0.0000
58,37.19,0.2720
59,36.24,0.0000
60,38.42,0.0000
61,34.88,0.0000
62,36.59,0.0000
63,37.77,0.0000
64,42.70,0.0000
65,38.35,0.2387
66,39.61,0.0000
67,36.82,0.0000
68,38.94,0.1621
69,38.01,0.1671
70,36.02,0.3011
71,36.54,0.2797
72,40.41,0.4017
73,39.81,0.5189
74,38.50,0.5196
75,41.88,0.4339
76,41.42,0.5068
77,41.03,0.5243
78,37.43,0.5041
79,39.02,0.5001
80,40.37,0.5119
81,37.76,0.5148
82,39.19,0.4547
83,41.15,0.4393
84,40.53,0.4837
85,38.03,0.4328
86,39.66,0.4266
87,39.17,0.4478
88,37.00,0.4391
89,41.07,0.4474
90,43.15,0.3435
91,41.15,0.2167
92,39.26,0.2653
93,40.10,0.2119
94,41.09,0.3095
95,40.95,0.3652
96,38.33,0.4126
97,42.88,0.2552
98,34.66,0.3010
99,37.49,0.4186
100,39.55,0.4023
101,66.87,0.3504
102,41.21,0.2896
103,37.43,0.3698
104,44.51,0.3067
105,51.21,0.3868
106,46.44,0.2537
107,46.64,0.2301
108,46.33,0.2486
109,42.70,0.2719
110,42.82,0.3210
111,40.98,0.2791
112,41.18,0.3420
113,46.35,0.3297
114,35.80,0.3011
115,36.07,0.4243
116,37.16,0.3403
117,41.47,0.2708
118,37.26,0.3449
119,38.52,0.3395
120,41.06,0.2598
121,41.24,0.2996
122,40.01,0.2591
123,40.19,0.2488
124,39.60,0.2534
125,37.39,0.2712
